Name:counter
letter,exact_counts,fixed_counts,fixed_prob_small,fixed_prob_av,fixed_prob_larg,fixed_max_dev,fixed_mad,fixed_stdd_dev,csuros_counts,cs_small,cs_av,cs_larg,cs_max_dv,cs_mad,cs_stdd_dev 
P,31292,39122234,W:8785,56386322.769,E:247194097,190807774.231,45680342.485,56124763.186,469380,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
Q,19723,24654120,W:8785,56386322.769,E:247194097,190807774.231,45680342.485,56124763.186,295845,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
R,80595,100745963,W:8785,56386322.769,E:247194097,190807774.231,45680342.485,56124763.186,1208925,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
S,94813,118517452,W:8785,56386322.769,E:247194097,190807774.231,45680342.485,56124763.186,1422195,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
T,76054,95075147,W:8785,56386322.769,E:247194097,190807774.231,45680342.485,56124763.186,1140810,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
U,83530,104413982,W:8785,56386322.769,E:247194097,190807774.231,45680342.485,56124763.186,1252950,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
V,20229,25293998,W:8785,56386322.769,E:247194097,190807774.231,45680342.485,56124763.186,303435,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
W,7,8785,W:8785,56386322.769,E:247194097,190807774.231,45680342.485,56124763.186,105,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
X,5493,6865492,W:8785,56386322.769,E:247194097,190807774.231,45680342.485,56124763.186,82395,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
Y,6561,8202526,W:8785,56386322.769,E:247194097,190807774.231,45680342.485,56124763.186,98415,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
Z,4269,5333643,W:8785,56386322.769,E:247194097,190807774.231,45680342.485,56124763.186,64035,W:105,676652.885,E:2966430,2289777.115,548201.627,673531.089
Name: spannish
1000
A,201797,25214720,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,3026955,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
B,24277,3035087,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,364155,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
C,59916,7485566,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,898740,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
D,87946,10987834,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,1319190,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
E,230617,28822764,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,3459255,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
F,7624,954148,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,114360,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
G,17348,2166882,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,260220,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
H,20011,2502737,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,300165,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
I,90586,11324937,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,1358790,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
J,10616,1327156,W:273,8256154.96,E:28822764,20566609.04,6254247.632,7724448.162,159240,W:30,990792.0,E:3459255,2468463.0,750565.2,927085.324
